;price;year;condition;cylinders;odometer;title_status;transmission;drive;size;lat;long;weather
133617;11632;2006;3;8;134721;clean;automatic;4wd;mid-size;44,87313;-87,89568;45
874669;1900;1999;2;8;180090;clean;automatic;4wd;full-size;43,1793;-85,2497;45
862105;19995;2013;2;6;145956;clean;automatic;4wd;full-size;38,717906;-108,054869;45
1140417;18999;2013;3;6;104953;clean;automatic;4wd;full-size;28,35742;-80,695708;65
193290;11995;2006;3;8;144388;clean;automatic;4wd;full-size;38,159627;-85,697708;50
933808;32999;2013;4;8;66000;clean;automatic;4wd;full-size;42,868175;-85,862086;45
1027601;32995;2012;2;6;36168;clean;automatic;4wd;full-size;34,947213;-89,440953;61
1020716;17500;2010;2;8;96796;clean;automatic;4wd;full-size;32,356164;-89,971375;61
1137817;19463;2010;3;8;95484;clean;automatic;4wd;mid-size;28,03978;-81,94071;65
457156;999;2011;2;8;85000;clean;automatic;rwd;;41,0334;-81,4385;49
1599491;22500;2014;3;6;91383;clean;automatic;4wd;;43,223605;-76,802231;53
1633185;47932;2017;3;8;16016;clean;automatic;4wd;;43,852883;-88,855927;45
1546884;14750;2009;3;8;112620;clean;automatic;4wd;;42,665448;-91,913878;47
1044749;18500;2012;3;6;77000;rebuilt;automatic;4wd;full-size;37,5085;-92,7891;52
400546;15995;2004;2;8;136658;clean;automatic;rwd;full-size;33,27424;-86,810883;61
586290;9987;2003;3;8;0;clean;automatic;4wd;full-size;42,355897;-122,865844;50
1651333;13995;2008;3;8;112286;clean;automatic;4wd;full-size;42,701772;-89,008858;45
1551317;38000;2017;5;8;11000;lien;automatic;4wd;;41,8992;-92,2574;47
815149;4900;2007;2;6;90000;clean;automatic;rwd;full-size;40,616946;-75,441782;53
1583629;13995;2008;3;8;105033;clean;automatic;4wd;full-size;43,223552;-77,372473;53
477920;16500;2014;3;6;124800;clean;automatic;;;33,6819;-112,0996;71
873603;5900;2002;3;8;223500;clean;automatic;4wd;;42,97792;-85,667095;45
82680;73055;2018;3;6;1;clean;automatic;4wd;full-size;47,830597;-110,662694;40
1157860;6488;2002;2;8;152550;clean;automatic;rwd;full-size;28,665045;-82,111604;65
1213483;38888;2015;3;6;47286;clean;automatic;4wd;;47,830597;-110,662694;40
1092360;24000;2013;3;6;46000;clean;automatic;4wd;full-size;35,645438;-88,851003;59
986690;25000;2014;3;8;82000;lien;automatic;4wd;;44,1202;-94,2184;43
486041;5000;2001;3;8;45000;clean;automatic;rwd;full-size;34,8929;-114,5951;71
1665179;24600;2010;3;8;63970;clean;automatic;4wd;mid-size;38,88358;-94,79383;51
1580308;33890;2018;3;8;17621;clean;automatic;rwd;full-size;43,15481;-75,932436;53
970270;18999;2011;3;8;120087;clean;automatic;4wd;mid-size;44,73188;-93,2162;43
104127;17990;2010;3;8;129000;clean;automatic;4wd;;46,450007;-95,12469;43
1338913;34455;2016;4;6;28916;clean;automatic;4wd;full-size;41,274936;-95,937166;46
1249121;3600;2003;2;6;160000;clean;manual;;;29,878089;-97,668993;67
177358;14000;2012;2;8;204000;clean;automatic;4wd;;37,7342;-85,2107;50
1106492;3000;1999;2;8;288000;clean;automatic;fwd;full-size;29,648974;-82,384586;65
971767;34995;2015;3;6;63373;clean;automatic;4wd;full-size;45,832707;-95,388536;43
